V,t
2.67586764672,8.0
2.68910897025,8.01
2.70221788055,8.02
2.71519570174,8.03
2.72804374472,8.04
2.74076330728,8.05
2.7533556742,8.06
2.76582211746,8.07
2.77816389629,8.08
2.79038225732,8.09
2.80247843475,8.1
2.8144536504,8.11
2.8263091139,8.12
2.83804602276,8.13
2.84966556253,8.14
2.86116890691,8.15
2.87255721784,8.16
2.88383164566,8.17
2.8949933292,8.18
2.90604339591,8.19
2.91698296195,8.2
2.92781313233,8.21
2.93853500101,8.22
2.949149651,8.23
2.95965815449,8.24
2.97006157294,8.25
2.98036095721,8.26
2.99055734764,8.27
0.0,8.28
0.04,8.29
0.0796,8.3
0.118804,8.31
0.15761596,8.32
0.1960398004,8.33
0.234079402396,8.34
0.271738608372,8.35
0.309021222288,8.36
0.345931010065,8.37
0.382471699965,8.38
0.418646982965,8.39
0.454460513135,8.4
0.489915908004,8.41
0.525016748924,8.42
0.559766581435,8.43
0.59416891562,8.44
0.628227226464,8.45
0.6619449542,8.46
0.695325504658,8.47
0.728372249611,8.48
0.761088527115,8.49
0.793477641844,8.5
0.825542865425,8.51
0.857287436771,8.52
0.888714562403,8.53
0.919827416779,8.54
0.950629142612,8.55
0.981122851185,8.56
1.01131162267,8.57
1.04119850645,8.58
1.07078652138,8.59
1.10007865617,8.6
1.12907786961,8.61
1.15778709091,8.62
1.18620922,8.63
1.2143471278,8.64
1.24220365652,8.65
1.26978161996,8.66
1.29708380376,8.67
1.32411296572,8.68
1.35087183606,8.69
1.3773631177,8.7
1.40358948653,8.71
1.42955359166,8.72
1.45525805574,8.73
1.48070547519,8.74
1.50589842044,8.75
1.53083943623,8.76
1.55553104187,8.77
1.57997573145,8.78
1.60417597414,8.79
1.62813421439,8.8
1.65185287225,8.81
1.67533434353,8.82
1.69858100009,8.83
1.72159519009,8.84
1.74437923819,8.85
1.76693544581,8.86
1.78926609135,8.87
1.81137343044,8.88
1.83325969613,8.89
1.85492709917,8.9
1.87637782818,8.91
1.8976140499,8.92
1.9186379094,8.93
1.9394515303,8.94
1.960057015,8.95
1.98045644485,8.96
2.0006518804,8.97
2.0206453616,8.98
2.04043890798,8.99
2.0600345189,9.0
2.07943417371,9.01
2.09863983198,9.02
2.11765343366,9.03
2.13647689932,9.04
2.15511213033,9.05
2.17356100902,9.06
2.19182539893,9.07
2.20990714494,9.08
2.2278080735,9.09
2.24552999276,9.1
2.26307469283,9.11
2.2804439459,9.12
2.29763950645,9.13
2.31466311138,9.14
2.33151648027,9.15
2.34820131546,9.16
2.36471930231,9.17
2.38107210929,9.18
2.39726138819,9.19
2.41328877431,9.2
2.42915588657,9.21
2.4448643277,9.22
2.46041568443,9.23
2.47581152758,9.24
2.49105341231,9.25
2.50614287818,9.26
2.5210814494,9.27
2.53587063491,9.28
2.55051192856,9.29
2.56500680927,9.3
2.57935674118,9.31
2.59356317377,9.32
2.60762754203,9.33
2.62155126661,9.34
2.63533575394,9.35
2.6489823964,9.36
2.66249257244,9.37
2.67586764672,9.38
2.68910897025,9.39
2.70221788055,9.4
2.71519570174,9.41
2.72804374472,9.42
2.74076330728,9.43
2.7533556742,9.44
2.76582211746,9.45
2.77816389629,9.46
2.79038225732,9.47
2.80247843475,9.48
2.8144536504,9.49
2.8263091139,9.5
2.83804602276,9.51
2.84966556253,9.52
2.86116890691,9.53
2.87255721784,9.54
2.88383164566,9.55
2.8949933292,9.56
2.90604339591,9.57
2.91698296195,9.58
2.92781313233,9.59
2.93853500101,9.6
2.949149651,9.61
2.95965815449,9.62
2.97006157294,9.63
2.98036095721,9.64
2.99055734764,9.65
0.0,9.66
0.04,9.67
0.0796,9.68
0.118804,9.69
0.15761596,9.7
0.1960398004,9.71
0.234079402396,9.72
0.271738608372,9.73
0.309021222288,9.74
0.345931010065,9.75
0.382471699965,9.76
0.418646982965,9.77
0.454460513135,9.78
0.489915908004,9.79
0.525016748924,9.8
0.559766581435,9.81
0.59416891562,9.82
